Year,Region,Region code,Country,Country Code,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,"First administrative level
","Second administrative level
",Coverage subscore,"Machine readable
",Non-proprietary,"Download options
","Metadata available
","Terms of use
",Openness subscore,Overall score,,Old OGDI Overall
2020,Eastern Africa,AFE,Tanzania,TZA,90.0,50.0,35.0,40.0,5.6,44.90,25.0,100.0,45.0,50.0,90.0,62.00,53.5,,53.72
2020,Western Asia,ASW,Cyprus,CYP,80.0,50.0,50.0,15.0,0.0,39.80,70.0,65.0,50.0,55.0,100.0,68.00,54.0,,53.89
2020,Southern Europe,EUZ,Montenegro,MNE,80.0,45.0,45.0,5.0,0.0,35.71,55.0,100.0,45.0,65.0,100.0,73.00,54.5,,54.44
2020,Northern Europe,EUN,Latvia,LVA,65.0,65.0,60.0,15.0,11.1,43.88,85.0,90.0,80.0,70.0,0.0,65.00,54.5,,54.44
2020,Southern Europe,EUZ,Portugal,PRT,60.0,55.0,55.0,20.0,22.2,42.86,80.0,80.0,55.0,80.0,40.0,67.00,55.1,,54.5
2020,Southern Africa,AFZ,South Africa,ZAF,75.0,65.0,50.0,30.0,5.6,45.92,10.0,100.0,45.0,70.0,100.0,65.00,55.6,,55.61
2020,Central Asia,ASC,Kazakhstan,KAZ,75.0,55.0,55.0,55.0,0.0,48.98,80.0,90.0,50.0,45.0,45.0,62.00,55.6,,55.61
2020,Western Europe,EUW,France,FRA,80.0,60.0,60.0,30.0,22.2,51.02,60.0,50.0,40.0,75.0,80.0,61.00,56.1,,55.89
2020,South America,AMZ,Brazil,BRA,90.0,60.0,60.0,50.0,11.1,55.10,85.0,95.0,45.0,55.0,5.0,57.00,56.1,,55.94
2020,Southern Asia,ASZ,Maldives,MDV,85.0,55.0,40.0,38.9,-,55.13,90.0,100.0,40.0,55.0,0.0,56.85,56.2,,56.18
2020,Caribbean,AMC,St. Lucia,LCA,70.0,40.0,40.0,16.7,-,42.31,80.0,90.0,35.0,45.0,90.0,68.76,56.7,,56.11
2020,Western Europe,EUW,Austria,AUT,65.0,55.0,55.0,25.0,5.6,41.84,90.0,90.0,55.0,80.0,45.0,72.00,57.1,,57
2020,Northern Europe,EUN,Estonia,EST,65.0,65.0,65.0,20.0,5.6,44.90,90.0,90.0,75.0,90.0,0.0,69.00,57.1,,56.5
2020,Eastern Asia,ASF,"Korea, Rep.",KOR,65.0,60.0,65.0,25.0,11.1,45.92,75.0,80.0,65.0,40.0,80.0,68.00,57.1,,57.33
2020,Caribbean,AMC,Jamaica,JAM,75.0,55.0,50.0,25.0,16.7,44.90,65.0,90.0,60.0,45.0,90.0,70.00,57.6,,57.72
2020,Western Asia,ASW,Bahrain,BHR,70.0,55.0,50.0,5.6,-,46.15,70.0,75.0,70.0,40.0,80.0,66.74,57.9,,58.06
2020,Northern Africa,AFN,Morocco,MAR,85.0,55.0,40.0,45.0,27.8,51.02,55.0,100.0,50.0,50.0,75.0,66.00,58.6,,58.56
